,23,00010111,17,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
,24,00011000,18,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
,25,00011001,19,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
,26,00011010,1A,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
,27,00011011,1B,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
,28,00011100,1C,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
,29,00011101,1D,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
,30,00011110,1E,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
,31,00011111,1F,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INC A,32,00100000,20,Increment REG-A,,,0x0,0x0,0x0,0x0,0x40,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,,
INC B,33,00100001,21,Increment REG-B,,,0x0,0x0,0x0,0x0,0x40,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,,
INC C,34,00100010,22,Increment REG-C,,,0x0,0x0,0x0,0x0,0x40,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,,
INC MA,35,00100011,23,Increment MEM pointer address,,,0x0,0x0,0x0,0x0,0x40,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,,
,36,00100100,24,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,00100101,25,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,00100110,26,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,00100111,27,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,00101000,28,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,00101001,29,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,00101010,2A,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,00101011,2B,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,00101100,2C,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,00101101,2D,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,00101110,2E,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,00101111,2F,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOV A,PC",48,00110000,30,Move value in REG-A to PC - This does a jump.,REG-A,PC,0x2,0x40,0x0,0x6,0x0,,1,,,,,,,,,,,,,1,,,,,,,,,,JMP,,,,,,,,,,,
"MOV A,RAM",49,00110001,31,Move value in REG-A to MEM - Address is pointered to by MEMAL and MEMAH,REG-A,MEM,0x2,0x0,0x1,0x1,0x0,,1,,,,,,,,,,,,,,,1,,,,,,,,0,0,0,0,,,,,,,,,,,
"MOV A,ML",50,00110010,32,Move value in REG-A to MENAL,REG-A,MEMAL,0x2,0x0,0x4,0x1,0x0,,1,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,1,,,,,,,,,,,
"MOV A,MH",51,00110011,33,Move value in REG-A to MEMAH,REG-A,MEMAH,0x2,0x0,0x8,0x1,0x0,,1,,,,,,,,,,,,,,,,,,1,,,,,0,0,0,1,,,,,,,,,,,
"MOV A,B",52,00110100,34,Move value in REG-A to REG-B,REG-A,REG-B,0x6,0x0,0x0,0x1,0x0,,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV A,S1",53,00110101,35,Move value in REG-A to REG-S1,REG-A,REG-S1,0x42,0x0,0x0,0x1,0x0,,1,,,,,1,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV A,S2",54,00110110,36,Move value in REG-A to REG-S2,REG-A,REG-S2,0x2,0x1,0x0,0x1,0x0,,1,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV A,IV",55,00110111,37,Move value in REG-A to REG-IV,REG-A,REG-IV,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
,56,00111000,38,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
,57,00111001,39,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
,58,00111010,3A,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
,59,00111011,3B,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
,60,00111100,3C,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
,61,00111101,3D,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
,62,00111110,3E,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
,63,00111111,3F,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV B,PC",64,01000000,40,Move value in REG-B to PC - This does a jump.,REG-B,PC,0x8,0x40,0x0,0x6,0x0,,,,1,,,,,,,,,,,1,,,,,,,,,,JMP,,,,,,,,,,,
"MOV B,RAM",65,01000001,41,Move value in REG-B to MEM - Address is pointered to by MEMAL and MEMAH,REG-B,MEM,0x8,0x0,0x1,0x1,0x0,,,,1,,,,,,,,,,,,,1,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV B,ML",66,01000010,42,Move value in REG-B to MENAL,REG-B,MEMAL,0x8,0x0,0x4,0x1,0x0,,,,1,,,,,,,,,,,,,,,1,,,,,,0,0,0,1,,,,,,,,,,,
"MOV B,MH",67,01000011,43,Move value in REG-B to MEMAH,REG-B,MEMAH,0x8,0x0,0x8,0x1,0x0,,,,1,,,,,,,,,,,,,,,,1,,,,,0,0,0,1,,,,,,,,,,,
"MOV B,A",68,01000100,44,Move value in REG-B to REG-A,REG-B,REG-A,0x9,0x0,0x0,0x1,0x0,1,,,1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV B,S1",69,01000101,45,Move value in REG-B to REG-S1,REG-B,REG-S1,0x48,0x0,0x0,0x1,0x0,,,,1,,,1,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV B,S2",70,01000110,46,Move value in REG-B to REG-S2,REG-B,REG-S2,0x8,0x1,0x0,0x1,0x0,,,,1,,,,,1,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV B,IV",71,01000111,47,Move value in REG-B to REG-IV,REG-B,REG-IV,0x8,0x0,0x0,0x1,0x0,,,,1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV C,PC",72,01001000,48,Move value in REG-C to PC - This does a jump.,REG-C,PC,0x20,0x40,0x0,0x1,0x0,,,,,,1,,,,,,,,,1,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV C,RAM",73,01001001,49,Move value in REG-C to MEM - Address is pointered to by MEMAL and MEMAH,REG-C,MEM,0x20,0x0,0x1,0x1,0x0,,,,,,1,,,,,,,,,,,1,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV C,ML",74,01001010,4A,Move value in REG-C to MENAL,REG-C,MEMAL,0x20,0x0,0x4,0x1,0x0,,,,,,1,,,,,,,,,,,,,1,,,,,,0,0,0,1,,,,,,,,,,,
"MOV C,MH",75,01001011,4B,Move value in REG-C to MEMAH,REG-C,MEMAH,0x20,0x0,0x8,0x1,0x0,,,,,,1,,,,,,,,,,,,,,1,,,,,0,0,0,1,,,,,,,,,,,
"MOV C,A",76,01001100,4C,Move value in REG-C to REG-A,REG-C,REG-A,0x21,0x0,0x0,0x1,0x0,1,,,,,1,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV C,S1",77,01001101,4D,Move value in REG-C to REG-S1,REG-C,REG-S1,0x60,0x0,0x0,0x1,0x0,,,,,,1,1,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV C,S2",78,01001110,4E,Move value in REG-C to REG-S2,REG-C,REG-S2,0x20,0x1,0x0,0x1,0x0,,,,,,1,,,1,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV C,IV",79,01001111,4F,Move value in REG-C to REG-IV,REG-C,REG-IV,0x20,0x0,0x0,0x1,0x0,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,
"MOV PC,A",80,01010000,50,Move PC to REG-A,PC,REG-A,0x1,0x0,0x40,0x1,0x0,1,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,1,,,,,,,,,,,
"MOV PC,B",81,01010001,51,Move PC to REG-B,PC,REG-B,0x4,0x0,0x40,0x1,0x0,,,1,,,,,,,,,,,,,,,,,,,,1,,0,0,0,1,,,,,,,,,,,
"MOV PC,M0(R).",82,01010010,52,Move PC to MEM  location pointed to by ROM in page 0,PC,MEM(ROM),0x0,0x0,0x61,0x81,0x0,,,,,,,,,,,,,,,,,1,,,,,1,1,,0,0,0,0,0,1,,,,,,,,,
"MOV M0(R),PC",83,01010011,53,Move MEM  location pointed to by ROM in page 0 to PC - This does a jump.,MEM(ROM),PC,0x0,0x40,0x22,0x86,0x0,,,,,,,,,,,,,,,1,,,1,,,,1,,,JMP,0,1,,,,,,,,,
,84,01010100,54,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
,85,01010101,55,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
,86,01010110,56,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
,87,01010111,57,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
"MOV C,R,M0",88,01011000,58,Move REG-C to MEM  location pointed to by ROM in page 0,,,0x20,0x0,0x21,0x81,0x0,,,,,,1,,,,,,,,,,,1,,,,,1,,,0,0,0,0,0,1,,,,,,,,,
"MOV C,R,M1",89,01011001,59,Move REG-C to MEM  location pointed to by ROM in page 1 - Stack Page,,,0x20,0x0,0x21,0x91,0x0,,,,,,1,,,,,,,,,,,1,,,,,1,,,0,0,0,0,1,1,,,,,,,,,
"MOV C,R,M2",90,01011010,5A,Move REG-C to MEM  location pointed to by ROM in page 2,,,0x20,0x0,0x21,0xA1,0x0,,,,,,1,,,,,,,,,,,1,,,,,1,,,0,0,0,0,2,1,,,,,,,,,
"MOV C,R,M3",91,01011011,5B,Move REG-C to MEM  location pointed to by ROM in page 3,,,0x20,0x0,0x21,0xB1,0x0,,,,,,1,,,,,,,,,,,1,,,,,1,,,0,0,0,0,3,1,,,,,,,,,
"MOV C,R,M4",92,01011100,5C,Move REG-C to MEM  location pointed to by ROM in page 4,,,0x20,0x0,0x21,0xC1,0x0,,,,,,1,,,,,,,,,,,1,,,,,1,,,0,0,0,0,4,1,,,,,,,,,
"MOV C,R,M5",93,01011101,5D,Move REG-C to MEM  location pointed to by ROM in page 5,,,0x20,0x0,0x21,0xD1,0x0,,,,,,1,,,,,,,,,,,1,,,,,1,,,0,0,0,0,5,1,,,,,,,,,
"MOV C,R,M6",94,01011110,5E,Move REG-C to MEM  location pointed to by ROM in page 6,,,0x20,0x0,0x21,0xE1,0x0,,,,,,1,,,,,,,,,,,1,,,,,1,,,0,0,0,0,6,1,,,,,,,,,
"MOV C,R,M7",95,01011111,5F,Move REG-C to MEM  location pointed to by ROM in page 7,,,0x20,0x0,0x21,0xF1,0x0,,,,,,1,,,,,,,,,,,1,,,,,1,,,0,0,0,0,7,1,,,,,,,,,
"MOV A,R,M0",96,01100000,60,Move REG-A to MEM  location pointed to by ROM in page 0,,,0x2,0x0,0x21,0x81,0x0,,1,,,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,0,1,,,,,,,,,
"MOV A,R,M1",97,01100001,61,Move REG-A to MEM  location pointed to by ROM in page 1 - Stack Page,,,0x2,0x0,0x21,0x91,0x0,,1,,,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,1,1,,,,,,,,,
"MOV A,R,M2",98,01100010,62,Move REG-A to MEM  location pointed to by ROM in page 2,,,0x2,0x0,0x21,0xA1,0x0,,1,,,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,2,1,,,,,,,,,
"MOV A,R,M3",99,01100011,63,Move REG-A to MEM  location pointed to by ROM in page 3,,,0x2,0x0,0x21,0xB1,0x0,,1,,,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,3,1,,,,,,,,,
"MOV A,R,M4",100,01100100,64,Move REG-A to MEM  location pointed to by ROM in page 4,,,0x2,0x0,0x21,0xC1,0x0,,1,,,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,4,1,,,,,,,,,
"MOV A,R,M5",101,01100101,65,Move REG-A to MEM  location pointed to by ROM in page 5,,,0x2,0x0,0x21,0xD1,0x0,,1,,,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,5,1,,,,,,,,,
"MOV A,R,M6",102,01100110,66,Move REG-A to MEM  location pointed to by ROM in page 6,,,0x2,0x0,0x21,0xE1,0x0,,1,,,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,6,1,,,,,,,,,
"MOV A,R,M7",103,01100111,67,Move REG-A to MEM  location pointed to by ROM in page 7,,,0x2,0x0,0x21,0xF1,0x0,,1,,,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,7,1,,,,,,,,,
"MOV R,M0,A",104,01101000,68,Move  MEM  location pointed to by ROM in page 0 to REG-A,,,0x1,0x0,0x22,0x81,0x0,1,,,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,0,1,,,,,,,,,
"MOV R,M1,A",105,01101001,69,Move MEM  location pointed to by ROM in page 1 to REG-A - Stack Page,,,0x1,0x0,0x22,0x91,0x0,1,,,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,1,1,,,,,,,,,
"MOV R,M2,A",106,01101010,6A,Move MEM  location pointed to by ROM in page 2 to REG-A,,,0x1,0x0,0x22,0xA1,0x0,1,,,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,2,1,,,,,,,,,
"MOV R,M3,A",107,01101011,6B,Move MEM  location pointed to by ROM in page 3 to REG-A ,,,0x1,0x0,0x22,0xB1,0x0,1,,,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,3,1,,,,,,,,,
"MOV R,M4,A",108,01101100,6C,Move MEM  location pointed to by ROM in page 4 to REG-A,,,0x1,0x0,0x22,0xC1,0x0,1,,,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,4,1,,,,,,,,,
"MOV R,M5,A",109,01101101,6D,Move MEM  location pointed to by ROM in page 5  to REG-A ,,,0x1,0x0,0x22,0xD1,0x0,1,,,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,5,1,,,,,,,,,
"MOV R,M6,A",110,01101110,6E,Move MEM  location pointed to by ROM in page 6 to  REG-A,,,0x1,0x0,0x22,0xE1,0x0,1,,,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,6,1,,,,,,,,,
"MOV R,M7,A",111,01101111,6F,Move MEM  location pointed to by ROM in page 7 to  REG-A,,,0x1,0x0,0x22,0xF1,0x0,1,,,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,7,1,,,,,,,,,
"MOV B,R,M0",112,01110000,70,Move REG-B to MEM  location pointed to by ROM in page 0,,,0x8,0x0,0x21,0x81,0x0,,,,1,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,0,1,,,,,,,,,
"MOV B,R,M1",113,01110001,71,Move REG-B to MEM  location pointed to by ROM in page 1 - Stack Page,,,0x8,0x0,0x21,0x91,0x0,,,,1,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,1,1,,,,,,,,,
"MOV B,R,M2",114,01110010,72,Move REG-B to MEM  location pointed to by ROM in page 2,,,0x8,0x0,0x21,0xA1,0x0,,,,1,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,2,1,,,,,,,,,
"MOV B,R,M3",115,01110011,73,Move REG-B to MEM  location pointed to by ROM in page 3,,,0x8,0x0,0x21,0xB1,0x0,,,,1,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,3,1,,,,,,,,,
"MOV B,R,M4",116,01110100,74,Move REG-B to MEM  location pointed to by ROM in page 4,,,0x8,0x0,0x21,0xC1,0x0,,,,1,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,4,1,,,,,,,,,
"MOV B,R,M5",117,01110101,75,Move REG-B to MEM  location pointed to by ROM in page 5,,,0x8,0x0,0x21,0xD1,0x0,,,,1,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,5,1,,,,,,,,,
"MOV B,R,M6",118,01110110,76,Move REG-B to MEM  location pointed to by ROM in page 6,,,0x8,0x0,0x21,0xE1,0x0,,,,1,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,6,1,,,,,,,,,
"MOV B,R,M7",119,01110111,77,Move REG-B to MEM  location pointed to by ROM in page 7,,,0x8,0x0,0x21,0xF1,0x0,,,,1,,,,,,,,,,,,,1,,,,,1,,,0,0,0,0,7,1,,,,,,,,,
"MOV R,M0,B",120,01111000,78,Move  MEM  location pointed to by ROM in page 0 to REG-B,,,0x4,0x0,0x22,0x81,0x0,,,1,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,0,1,,,,,,,,,
"MOV R,M1,B",121,01111001,79,Move MEM  location pointed to by ROM in page 1 to REG-B - Stack Page,,,0x4,0x0,0x22,0x91,0x0,,,1,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,0,1,1,,,,,,,,,
"MOV R,M2,B",122,01111010,7A,Move MEM  location pointed to by ROM in page 2 to REG-B,,,0x4,0x0,0x22,0xA1,0x0,,,1,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,1,2,1,,,,,,,,,
"MOV R,M3,B",123,01111011,7B,Move MEM  location pointed to by ROM in page 3 to REG-B,,,0x4,0x0,0x22,0xB1,0x0,,,1,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,1,3,1,,,,,,,,,
"MOV R,M4,B",124,01111100,7C,Move MEM  location pointed to by ROM in page 4 to REG-B,,,0x4,0x0,0x22,0xC1,0x0,,,1,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,1,4,1,,,,,,,,,
"MOV R,M5,B",125,01111101,7D,Move MEM  location pointed to by ROM in page 5  to REG-B,,,0x4,0x0,0x22,0xD1,0x0,,,1,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,1,5,1,,,,,,,,,
"MOV R,M6,B",126,01111110,7E,Move MEM  location pointed to by ROM in page 6 to  REG-B,,,0x4,0x0,0x22,0xE1,0x0,,,1,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,1,6,1,,,,,,,,,
"MOV R,M7,B",127,01111111,7F,Move MEM  location pointed to by ROM in page 7 to  REG-B,,,0x4,0x0,0x22,0xF1,0x0,,,1,,,,,,,,,,,,,,,1,,,,1,,,0,0,0,1,7,1,,,,,,,,,
JMP R,128,10000000,80,Jump to address using value held in current ROM address,ROM,PC,0x0,0xC0,0x0,0x6,0x0,,,,,,,,,,,,,,,1,1,,,,,,,,,JMP,,,,,,,,,,,
